claimId,contractId,accidentDate,declarationDate,developmentMonth,viewDate,paidAmount,caseReserve,incurredAmount,claimType,claimStatus
CLM_2022_00001,MRH_2022_00028,2022-10-16,2022-10-16,0,2022-10-31,0.0,124.11,124.11,Dégâts des eaux,Ouvert
CLM_2022_00001,MRH_2022_00028,2022-10-16,2022-10-16,1,2022-11-30,15.13,109.12,124.25,Dégâts des eaux,Ouvert
CLM_2022_00001,MRH_2022_00028,2022-10-16,2022-10-16,2,2022-12-31,26.34,98.05,124.39,Dégâts des eaux,Ouvert
CLM_2022_00001,MRH_2022_00028,2022-10-16,2022-10-16,3,2023-01-31,36.44,88.09,124.53,Dégâts des eaux,Ouvert
CLM_2022_00001,MRH_2022_00028,2022-10-16,2022-10-16,4,2023-02-28,45.87,78.78999999999999,124.66,Dégâts des eaux,Ouvert
CLM_2022_00001,MRH_2022_00028,2022-10-16,2022-10-16,5,2023-03-31,54.83,69.97,124.8,Dégâts des eaux,Ouvert
CLM_2022_00001,MRH_2022_00028,2022-10-16,2022-10-16,6,2023-04-30,63.44,61.5,124.94,Dégâts des eaux,Ouvert
CLM_2022_00001,MRH_2022_00028,2022-10-16,2022-10-16,7,2023-05-31,71.77,53.31,125.08,Dégâts des eaux,Ouvert
CLM_2022_00001,MRH_2022_00028,2022-10-16,2022-10-16,8,2023-06-30,79.86,45.36,125.22,Dégâts des eaux,Clôturé
CLM_2022_00001,MRH_2022_00028,2022-10-16,2022-10-16,9,2023-07-31,125.36,0.0,125.36,Dégâts des eaux,Clôturé
CLM_2022_00001,MRH_2022_00028,2022-10-16,2022-10-16,10,2023-08-31,125.36,0.0,125.36,Dégâts des eaux,Clôturé
CLM_2022_00001,MRH_2022_00028,2022-10-16,2022-10-16,11,2023-09-30,125.36,0.0,125.36,Dégâts des eaux,Clôturé
CLM_2022_00001,MRH_2022_00028,2022-10-16,2022-10-16,12,2023-10-31,125.36,0.0,125.36,Dégâts des eaux,Clôturé
CLM_2022_00001,MRH_2022_00028,2022-10-16,2022-10-16,13,2023-11-30,125.36,0.0,125.36,Dégâts des eaux,Clôturé
CLM_2022_00001,MRH_2022_00028,2022-10-16,2022-10-16,14,2023-12-31,125.36,0.0,125.36,Dégâts des eaux,Clôturé
CLM_2022_00001,MRH_2022_00028,2022-10-16,2022-10-16,15,2024-01-31,125.36,0.0,125.36,Dégâts des eaux,Clôturé
CLM_2022_00001,MRH_2022_00028,2022-10-16,2022-10-16,16,2024-02-29,125.36,0.0,125.36,Dégâts des eaux,Clôturé
CLM_2022_00001,MRH_2022_00028,2022-10-16,2022-10-16,17,2024-03-31,125.36,0.0,125.36,Dégâts des eaux,Clôturé
CLM_2022_00001,MRH_2022_00028,2022-10-16,2022-10-16,18,2024-04-30,125.36,0.0,125.36,Dégâts des eaux,Clôturé
CLM_2022_00001,MRH_2022_00028,2022-10-16,2022-10-16,19,2024-05-31,125.36,0.0,125.36,Dégâts des eaux,Clôturé
CLM_2022_00001,MRH_2022_00028,2022-10-16,2022-10-16,20,2024-06-30,125.36,0.0,125.36,Dégâts des eaux,Clôturé
CLM_2022_00001,MRH_2022_00028,2022-10-16,2022-10-16,21,2024-07-31,125.36,0.0,125.36,Dégâts des eaux,Clôturé
CLM_2022_00001,MRH_2022_00028,2022-10-16,2022-10-16,22,2024-08-31,125.36,0.0,125.36,Dégâts des eaux,Clôturé
CLM_2022_00001,MRH_2022_00028,2022-10-16,2022-10-16,23,2024-09-30,125.36,0.0,125.36,Dégâts des eaux,Clôturé
CLM_2022_00001,MRH_2022_00028,2022-10-16,2022-10-16,24,2024-10-31,125.36,0.0,125.36,Dégâts des eaux,Clôturé
CLM_2022_00001,MRH_2022_00028,2022-10-16,2022-10-16,25,2024-11-30,125.36,0.0,125.36,Dégâts des eaux,Clôturé
CLM_2022_00001,MRH_2022_00028,2022-10-16,2022-10-16,26,2024-12-31,125.36,0.0,125.36,Dégâts des eaux,Clôturé
CLM_2022_00002,MRH_2022_00039,2022-12-24,2022-12-24,0,2022-12-31,0.0,1418.61,1418.61,Incendie,Ouvert
CLM_2022_00002,MRH_2022_00039,2022-12-24,2022-12-24,1,2023-01-31,137.4,1282.3999999999999,1419.8,Incendie,Ouvert
CLM_2022_00002,MRH_2022_00039,2022-12-24,2022-12-24,2,2023-02-28,239.22,1181.78,1421.0,Incendie,Ouvert
CLM_2022_00002,MRH_2022_00039,2022-12-24,2022-12-24,3,2023-03-31,330.89,1091.3000000000002,1422.19,Incendie,Ouvert
CLM_2022_00002,MRH_2022_00039,2022-12-24,2022-12-24,4,2023-04-30,416.51,1006.8800000000001,1423.39,Incendie,Ouvert
CLM_2022_00002,MRH_2022_00039,2022-12-24,2022-12-24,5,2023-05-31,497.92,926.6599999999999,1424.58,Incendie,Ouvert
CLM_2022_00002,MRH_2022_00039,2022-12-24,2022-12-24,6,2023-06-30,576.1,849.67,1425.77,Incendie,Ouvert
CLM_2022_00002,MRH_2022_00039,2022-12-24,2022-12-24,7,2023-07-31,651.72,775.25,1426.97,Incendie,Ouvert
CLM_2022_00002,MRH_2022_00039,2022-12-24,2022-12-24,8,2023-08-31,725.19,702.97,1428.16,Incendie,Ouvert
CLM_2022_00002,MRH_2022_00039,2022-12-24,2022-12-24,9,2023-09-30,796.85,632.5099999999999,1429.36,Incendie,Ouvert
CLM_2022_00002,MRH_2022_00039,2022-12-24,2022-12-24,10,2023-10-31,866.92,563.63,1430.55,Incendie,Ouvert
CLM_2022_00002,MRH_2022_00039,2022-12-24,2022-12-24,11,2023-11-30,935.61,496.13,1431.74,Incendie,Ouvert
CLM_2022_00002,MRH_2022_00039,2022-12-24,2022-12-24,12,2023-12-31,1432.94,0.0,1432.94,Incendie,Clôturé
CLM_2022_00002,MRH_2022_00039,2022-12-24,2022-12-24,13,2024-01-31,1432.94,0.0,1432.94,Incendie,Clôturé
CLM_2022_00002,MRH_2022_00039,2022-12-24,2022-12-24,14,2024-02-29,1432.94,0.0,1432.94,Incendie,Clôturé
CLM_2022_00002,MRH_2022_00039,2022-12-24,2022-12-24,15,2024-03-31,1432.94,0.0,1432.94,Incendie,Clôturé
CLM_2022_00002,MRH_2022_00039,2022-12-24,2022-12-24,16,2024-04-30,1432.94,0.0,1432.94,Incendie,Clôturé
CLM_2022_00002,MRH_2022_00039,2022-12-24,2022-12-24,17,2024-05-31,1432.94,0.0,1432.94,Incendie,Clôturé
CLM_2022_00002,MRH_2022_00039,2022-12-24,2022-12-24,18,2024-06-30,1432.94,0.0,1432.94,Incendie,Clôturé
CLM_2022_00002,MRH_2022_00039,2022-12-24,2022-12-24,19,2024-07-31,1432.94,0.0,1432.94,Incendie,Clôturé
CLM_2022_00002,MRH_2022_00039,2022-12-24,2022-12-24,20,2024-08-31,1432.94,0.0,1432.94,Incendie,Clôturé
CLM_2022_00002,MRH_2022_00039,2022-12-24,2022-12-24,21,2024-09-30,1432.94,0.0,1432.94,Incendie,Clôturé
